,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
0,27,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,27,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,27,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,27,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,27,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,27,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,27,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,27,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,27,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
21,5,5,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
22,5,5,3,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
23,5,5,3,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0
24,5,5,3,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0
25,5,5,3,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
26,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
27,5,5,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
28,5,5,3,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
29,5,5,3,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0
30,6,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
31,6,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0
32,6,1,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0
33,6,1,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0
34,6,1,5,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0
35,6,1,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0
36,6,1,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0
37,6,1,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0
38,6,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
39,6,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
40,0,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
50,15,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
51,15,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
52,15,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
53,15,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
54,15,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
55,15,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
56,15,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
57,15,5,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0
58,15,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
59,15,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
60,23,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
61,23,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,23,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,23,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,23,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,23,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
66,23,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
67,23,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,23,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,23,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,12,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
71,12,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
72,12,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0,0
73,12,4,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0,0
74,12,4,3,2,5,5,4,4,5,4,0,0,0,0,0,0,0,0
75,12,4,3,5,5,5,4,4,5,4,0,0,0,0,0,0,0,0
76,12,4,3,5,2,5,4,4,5,4,0,0,0,0,0,0,0,0
77,12,4,3,5,2,5,4,4,5,4,0,0,0,0,0,0,0,0
78,12,4,3,5,2,5,5,4,5,4,0,0,0,0,0,0,0,0
79,12,4,3,5,2,5,5,4,5,4,0,0,0,0,0,0,0,0
80,39,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
81,39,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
82,39,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,39,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,39,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,39,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,39,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
87,39,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,39,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,39,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,30,4,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0
91,30,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
92,30,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
93,30,4,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
94,30,4,4,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0
95,30,4,4,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0
96,30,4,4,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0
97,30,4,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0
98,30,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
99,30,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
100,14,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
101,14,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
102,14,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
103,14,3,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
104,14,3,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
105,14,3,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
106,14,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
107,14,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
108,14,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
109,14,3,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
110,29,3,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0
111,29,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0,0
112,29,3,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0,0
113,29,3,5,5,4,4,3,2,3,0,0,0,0,0,0,0,0,0
114,29,3,5,3,4,4,3,2,3,0,0,0,0,0,0,0,0,0
115,29,3,5,3,5,4,3,2,3,0,0,0,0,0,0,0,0,0
116,29,3,5,3,5,4,3,2,3,0,0,0,0,0,0,0,0,0
117,29,3,5,3,5,4,4,2,3,0,0,0,0,0,0,0,0,0
118,29,3,5,3,5,4,4,3,3,0,0,0,0,0,0,0,0,0
119,29,3,5,3,5,4,4,3,2,0,0,0,0,0,0,0,0,0
120,19,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
121,19,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
122,19,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
123,19,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
124,19,3,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
125,19,3,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
126,19,3,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
127,19,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
128,19,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
129,19,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
130,24,5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
131,24,5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
132,24,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,24,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,24,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,24,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,24,5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
137,24,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,24,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,24,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,32,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
141,32,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
142,32,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0,0
143,32,1,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0,0
144,32,1,5,3,7,3,4,4,0,0,0,0,0,0,0,0,0,0
145,32,1,5,4,7,3,4,4,0,0,0,0,0,0,0,0,0,0
146,32,1,5,4,3,3,4,4,0,0,0,0,0,0,0,0,0,0
147,32,1,5,4,3,7,4,4,0,0,0,0,0,0,0,0,0,0
148,32,1,5,4,3,7,3,4,0,0,0,0,0,0,0,0,0,0
149,32,1,5,4,3,7,3,4,0,0,0,0,0,0,0,0,0,0
150,1,3,5,7,3,3,5,2,0,0,0,0,0,0,0,0,0,0
151,1,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
152,1,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
153,1,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0,0
154,1,3,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0,0
155,1,3,5,3,3,5,6,2,0,0,0,0,0,0,0,0,0,0
156,1,3,5,7,3,5,6,2,0,0,0,0,0,0,0,0,0,0
157,1,3,5,7,3,5,6,2,0,0,0,0,0,0,0,0,0,0
158,1,3,5,7,3,3,6,2,0,0,0,0,0,0,0,0,0,0
